tool_slug,tool_name_en,category_code,implementation_mode,monetization_model,build_complexity,commercial_intent,localization_leverage,recurring_use,ai_fit,paid_fit,baseline_competition,static_delivery_fit,mvp_wave,status,source_id,notes
pdf-compressor,PDF Compressor,document_pdf,static_client,freemium,3,4,4,3,2,4,5,4,1,mvp,editorial_seed_20260717,Initial opportunity catalog
pdf-form-filler,PDF Form Filler,document_pdf,static_client,freemium,3,4,4,3,2,4,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
pdf-merger,PDF Merger,document_pdf,static_client,freemium,3,4,4,3,2,4,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
pdf-metadata-editor,PDF Metadata Editor,document_pdf,static_client,freemium,3,4,4,3,2,4,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
pdf-page-numbering-tool,PDF Page Numbering Tool,document_pdf,static_client,freemium,3,4,4,3,2,4,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
pdf-page-remover,PDF Page Remover,document_pdf,static_client,freemium,3,4,4,3,2,4,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
pdf-page-rotator,PDF Page Rotator,document_pdf,static_client,freemium,3,4,4,3,2,4,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
pdf-password-protector,PDF Password Protector,document_pdf,static_client,freemium,3,4,4,3,2,4,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
pdf-password-remover,PDF Password Remover,document_pdf,static_client,freemium,3,4,4,3,2,4,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
pdf-splitter,PDF Splitter,document_pdf,static_client,freemium,3,4,4,3,2,4,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
pdf-watermark-tool,PDF Watermark Tool,document_pdf,static_client,freemium,3,4,4,3,2,4,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
pdf-to-image-converter,PDF to Image Converter,document_pdf,static_client,freemium,3,4,4,3,2,4,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
pdf-to-word-converter,PDF to Word Converter,document_pdf,static_client,freemium,3,4,4,3,2,4,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
word-to-pdf-converter,Word to PDF Converter,document_pdf,static_client,freemium,3,4,4,3,2,4,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
app-icon-generator,App Icon Generator,image_design,static_client,freemium,3,4,4,3,3,3,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
background-remover,Background Remover,image_design,static_client,freemium,3,4,4,3,3,3,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
color-palette-generator,Color Palette Generator,image_design,static_client,freemium,3,4,4,3,3,3,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
exif-metadata-remover,EXIF Metadata Remover,image_design,static_client,freemium,3,4,4,3,3,3,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
favicon-generator,Favicon Generator,image_design,static_client,freemium,3,4,4,3,3,3,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
gradient-generator,Gradient Generator,image_design,static_client,freemium,3,4,4,3,3,3,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
heic-to-jpg-converter,HEIC to JPG Converter,image_design,static_client,freemium,3,4,4,3,3,3,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
image-compressor,Image Compressor,image_design,static_client,freemium,2,4,4,3,3,3,5,5,1,mvp,editorial_seed_20260717,Initial opportunity catalog
image-converter,Image Converter,image_design,static_client,freemium,3,4,4,3,3,3,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
image-cropper,Image Cropper,image_design,static_client,freemium,3,4,4,3,3,3,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
image-resizer,Image Resizer,image_design,static_client,freemium,1,4,4,3,3,3,4,5,1,mvp,editorial_seed_20260717,Initial opportunity catalog
image-watermark-tool,Image Watermark Tool,image_design,static_client,freemium,3,4,4,3,3,3,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
jpg-to-png-converter,JPG to PNG Converter,image_design,static_client,freemium,3,4,4,3,3,3,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
meme-generator,Meme Generator,image_design,static_client,freemium,3,4,4,3,3,3,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
png-to-jpg-converter,PNG to JPG Converter,image_design,static_client,freemium,3,4,4,3,3,3,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
passport-photo-maker,Passport Photo Maker,image_design,static_client,freemium,3,4,4,3,3,3,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
photo-collage-maker,Photo Collage Maker,image_design,static_client,freemium,3,4,4,3,3,3,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
svg-converter,SVG Converter,image_design,static_client,freemium,3,4,4,3,3,3,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
screenshot-beautifier,Screenshot Beautifier,image_design,static_client,freemium,3,4,4,3,3,3,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
webp-converter,WebP Converter,image_design,static_client,freemium,3,4,4,3,3,3,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
ad-copy-generator,Ad Copy Generator,marketing_seo,hybrid,subscription,3,5,4,4,4,5,5,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
broken-link-checker,Broken Link Checker,marketing_seo,hybrid,subscription,3,5,4,4,4,5,5,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
dns-lookup-tool,DNS Lookup Tool,marketing_seo,hybrid,subscription,3,5,4,4,4,5,5,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
domain-age-checker,Domain Age Checker,marketing_seo,hybrid,subscription,3,5,4,4,4,5,5,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
email-subject-line-tester,Email Subject Line Tester,marketing_seo,hybrid,subscription,3,5,4,4,4,5,5,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
headline-analyzer,Headline Analyzer,marketing_seo,hybrid,subscription,3,5,4,4,4,5,5,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
keyword-density-checker,Keyword Density Checker,marketing_seo,hybrid,subscription,3,5,4,4,4,5,5,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
meta-tag-generator,Meta Tag Generator,marketing_seo,hybrid,subscription,3,5,4,4,4,5,5,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
open-graph-generator,Open Graph Generator,marketing_seo,hybrid,subscription,3,5,4,4,4,5,5,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
product-description-generator,Product Description Generator,marketing_seo,hybrid,subscription,3,5,4,4,4,5,5,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
qr-code-generator,QR Code Generator,marketing_seo,hybrid,subscription,1,5,4,4,4,5,5,5,1,mvp,editorial_seed_20260717,Initial opportunity catalog
redirect-checker,Redirect Checker,marketing_seo,hybrid,subscription,3,5,4,4,4,5,5,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
robots-txt-generator,Robots.txt Generator,marketing_seo,hybrid,subscription,3,5,4,4,4,5,5,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
serp-preview-tool,SERP Preview Tool,marketing_seo,hybrid,subscription,3,5,4,4,4,5,5,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
schema-markup-generator,Schema Markup Generator,marketing_seo,hybrid,subscription,3,5,4,4,4,5,5,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
sitemap-generator,Sitemap Generator,marketing_seo,hybrid,subscription,3,5,4,4,4,5,5,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
twitter-card-generator,Twitter Card Generator,marketing_seo,hybrid,subscription,3,5,4,4,4,5,5,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
utm-builder,UTM Builder,marketing_seo,hybrid,subscription,3,5,4,4,4,5,5,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
whois-lookup-tool,Whois Lookup Tool,marketing_seo,hybrid,subscription,3,5,4,4,4,5,5,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
word-counter,Word Counter,marketing_seo,hybrid,subscription,3,5,4,4,4,5,5,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
audio-compressor,Audio Compressor,media,server_processing,freemium,4,4,3,3,3,4,5,2,,candidate,editorial_seed_20260717,Initial opportunity catalog
audio-merger,Audio Merger,media,server_processing,freemium,4,4,3,3,3,4,5,2,,candidate,editorial_seed_20260717,Initial opportunity catalog
audio-trimmer,Audio Trimmer,media,server_processing,freemium,4,4,3,3,3,4,5,2,,candidate,editorial_seed_20260717,Initial opportunity catalog
bpm-tap-counter,BPM Tap Counter,media,server_processing,freemium,4,4,3,3,3,4,5,2,,candidate,editorial_seed_20260717,Initial opportunity catalog
gif-to-video-converter,GIF to Video Converter,media,server_processing,freemium,4,4,3,3,3,4,5,2,,candidate,editorial_seed_20260717,Initial opportunity catalog
mp3-converter,MP3 Converter,media,server_processing,freemium,4,4,3,3,3,4,5,2,,candidate,editorial_seed_20260717,Initial opportunity catalog
podcast-description-generator,Podcast Description Generator,media,server_processing,freemium,4,4,3,3,3,4,5,2,,candidate,editorial_seed_20260717,Initial opportunity catalog
podcast-name-generator,Podcast Name Generator,media,server_processing,freemium,4,4,3,3,3,4,5,2,,candidate,editorial_seed_20260717,Initial opportunity catalog
screen-recorder,Screen Recorder,media,server_processing,freemium,4,4,3,3,3,4,5,2,,candidate,editorial_seed_20260717,Initial opportunity catalog
subtitle-converter,Subtitle Converter,media,server_processing,freemium,4,4,3,3,3,4,5,2,,candidate,editorial_seed_20260717,Initial opportunity catalog
subtitle-generator,Subtitle Generator,media,server_processing,freemium,4,4,3,3,3,4,5,2,,candidate,editorial_seed_20260717,Initial opportunity catalog
teleprompter,Teleprompter,media,server_processing,freemium,4,4,3,3,3,4,5,2,,candidate,editorial_seed_20260717,Initial opportunity catalog
video-compressor,Video Compressor,media,server_processing,freemium,4,4,3,3,3,4,5,2,,candidate,editorial_seed_20260717,Initial opportunity catalog
video-merger,Video Merger,media,server_processing,freemium,4,4,3,3,3,4,5,2,,candidate,editorial_seed_20260717,Initial opportunity catalog
video-trimmer,Video Trimmer,media,server_processing,freemium,4,4,3,3,3,4,5,2,,candidate,editorial_seed_20260717,Initial opportunity catalog
video-to-gif-converter,Video to GIF Converter,media,server_processing,freemium,4,4,3,3,3,4,5,2,,candidate,editorial_seed_20260717,Initial opportunity catalog
video-to-mp3-converter,Video to MP3 Converter,media,server_processing,freemium,4,4,3,3,3,4,5,2,,candidate,editorial_seed_20260717,Initial opportunity catalog
voice-recorder,Voice Recorder,media,server_processing,freemium,4,4,3,3,3,4,5,2,,candidate,editorial_seed_20260717,Initial opportunity catalog
wav-to-mp3-converter,WAV to MP3 Converter,media,server_processing,freemium,4,4,3,3,3,4,5,2,,candidate,editorial_seed_20260717,Initial opportunity catalog
webcam-recorder,Webcam Recorder,media,server_processing,freemium,4,4,3,3,3,4,5,2,,candidate,editorial_seed_20260717,Initial opportunity catalog
character-counter,Character Counter,social_communication,static_client,ads,1,2,5,4,3,1,4,5,1,mvp,editorial_seed_20260717,Initial opportunity catalog
contact-card-generator,Contact Card Generator,social_communication,static_client,ads,2,3,5,4,3,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
email-signature-generator,Email Signature Generator,social_communication,static_client,ads,2,3,5,4,3,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
emoji-picker,Emoji Picker,social_communication,static_client,ads,2,3,5,4,3,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
facebook-post-generator,Facebook Post Generator,social_communication,static_client,ads,2,3,5,4,3,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
fancy-text-generator,Fancy Text Generator,social_communication,static_client,ads,2,3,5,4,3,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
hashtag-generator,Hashtag Generator,social_communication,static_client,ads,2,3,5,4,3,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
instagram-bio-generator,Instagram Bio Generator,social_communication,static_client,ads,2,3,5,4,3,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
instagram-caption-generator,Instagram Caption Generator,social_communication,static_client,ads,2,3,5,4,3,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
link-in-bio-builder,Link in Bio Builder,social_communication,static_client,ads,2,3,5,4,3,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
random-comment-picker,Random Comment Picker,social_communication,static_client,ads,2,3,5,4,3,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
short-link-generator,Short Link Generator,social_communication,static_client,ads,2,3,5,4,3,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
social-media-calendar-generator,Social Media Calendar Generator,social_communication,static_client,ads,2,3,5,4,3,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
tiktok-caption-generator,TikTok Caption Generator,social_communication,static_client,ads,2,3,5,4,3,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
tweet-generator,Tweet Generator,social_communication,static_client,ads,2,3,5,4,3,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
unicode-text-converter,Unicode Text Converter,social_communication,static_client,ads,2,3,5,4,3,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
whatsapp-link-generator,WhatsApp Link Generator,social_communication,static_client,ads,1,4,5,4,3,2,3,5,1,mvp,editorial_seed_20260717,Initial opportunity catalog
whatsapp-qr-generator,WhatsApp QR Generator,social_communication,static_client,ads,2,3,5,4,3,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
youtube-description-generator,YouTube Description Generator,social_communication,static_client,ads,2,3,5,4,3,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
youtube-title-generator,YouTube Title Generator,social_communication,static_client,ads,2,3,5,4,3,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
ai-humanizer,AI Humanizer,writing_ai,ai_api,subscription,3,4,5,4,5,4,5,1,,candidate,editorial_seed_20260717,Initial opportunity catalog
article-rewriter,Article Rewriter,writing_ai,ai_api,subscription,3,4,5,4,5,4,5,1,,candidate,editorial_seed_20260717,Initial opportunity catalog
blog-outline-generator,Blog Outline Generator,writing_ai,ai_api,subscription,3,4,5,4,5,4,5,1,,candidate,editorial_seed_20260717,Initial opportunity catalog
blog-title-generator,Blog Title Generator,writing_ai,ai_api,subscription,3,4,5,4,5,4,5,1,,candidate,editorial_seed_20260717,Initial opportunity catalog
citation-generator,Citation Generator,writing_ai,ai_api,subscription,3,4,5,4,5,4,5,1,,candidate,editorial_seed_20260717,Initial opportunity catalog
cold-email-generator,Cold Email Generator,writing_ai,ai_api,subscription,3,4,5,4,5,4,5,1,,candidate,editorial_seed_20260717,Initial opportunity catalog
email-writer,Email Writer,writing_ai,ai_api,subscription,3,4,5,4,5,4,5,1,,candidate,editorial_seed_20260717,Initial opportunity catalog
