tool_slug,market_code,base_query,display_name,localization_status,source_id,reviewed_at,notes
bpm-tap-counter,KR,,,pending,,,Awaiting localized head term
bpm-tap-counter,TH,,,pending,,,Awaiting localized head term
bpm-tap-counter,TR,,,pending,,,Awaiting localized head term
bpm-tap-counter,VN,,,pending,,,Awaiting localized head term
break-even-calculator,BR,,,pending,,,Awaiting localized head term
break-even-calculator,DE,,,pending,,,Awaiting localized head term
break-even-calculator,ES,,,pending,,,Awaiting localized head term
break-even-calculator,FR,,,pending,,,Awaiting localized head term
break-even-calculator,ID,,,pending,,,Awaiting localized head term
break-even-calculator,JP,,,pending,,,Awaiting localized head term
break-even-calculator,KR,,,pending,,,Awaiting localized head term
break-even-calculator,TH,,,pending,,,Awaiting localized head term
break-even-calculator,TR,,,pending,,,Awaiting localized head term
break-even-calculator,VN,,,pending,,,Awaiting localized head term
broken-link-checker,BR,,,pending,,,Awaiting localized head term
broken-link-checker,DE,,,pending,,,Awaiting localized head term
broken-link-checker,ES,,,pending,,,Awaiting localized head term
broken-link-checker,FR,,,pending,,,Awaiting localized head term
broken-link-checker,ID,,,pending,,,Awaiting localized head term
broken-link-checker,JP,,,pending,,,Awaiting localized head term
broken-link-checker,KR,,,pending,,,Awaiting localized head term
broken-link-checker,TH,,,pending,,,Awaiting localized head term
broken-link-checker,TR,,,pending,,,Awaiting localized head term
broken-link-checker,VN,,,pending,,,Awaiting localized head term
business-card-maker,BR,,,pending,,,Awaiting localized head term
business-card-maker,DE,,,pending,,,Awaiting localized head term
business-card-maker,ES,,,pending,,,Awaiting localized head term
business-card-maker,FR,,,pending,,,Awaiting localized head term
business-card-maker,ID,,,pending,,,Awaiting localized head term
business-card-maker,JP,,,pending,,,Awaiting localized head term
business-card-maker,KR,,,pending,,,Awaiting localized head term
business-card-maker,TH,,,pending,,,Awaiting localized head term
business-card-maker,TR,,,pending,,,Awaiting localized head term
business-card-maker,VN,,,pending,,,Awaiting localized head term
calorie-calculator,BR,,,pending,,,Awaiting localized head term
calorie-calculator,DE,,,pending,,,Awaiting localized head term
calorie-calculator,ES,,,pending,,,Awaiting localized head term
calorie-calculator,FR,,,pending,,,Awaiting localized head term
calorie-calculator,ID,,,pending,,,Awaiting localized head term
calorie-calculator,JP,,,pending,,,Awaiting localized head term
calorie-calculator,KR,,,pending,,,Awaiting localized head term
calorie-calculator,TH,,,pending,,,Awaiting localized head term
calorie-calculator,TR,,,pending,,,Awaiting localized head term
calorie-calculator,VN,,,pending,,,Awaiting localized head term
character-counter,BR,contador de caracteres,contador de caracteres,serp_verified,public_serp_audit_20260717,2026-07-17T12:37:42Z,Core query reviewed in public SERP sample; native review still pending
character-counter,DE,Zeichen zählen,Zeichen zählen,editor_reviewed,editorial_seed_20260717,,Requires native and SERP validation
character-counter,ES,contador de caracteres,contador de caracteres,editor_reviewed,editorial_seed_20260717,,Requires native and SERP validation
character-counter,FR,compteur de caractères,compteur de caractères,editor_reviewed,editorial_seed_20260717,,Requires native and SERP validation
character-counter,ID,penghitung karakter,penghitung karakter,serp_verified,public_serp_audit_20260717,2026-07-17T12:37:42Z,Core query reviewed in public SERP sample; native review still pending
character-counter,JP,文字数 カウント,文字数 カウント,serp_verified,public_serp_audit_20260717,2026-07-17T12:37:42Z,Core query reviewed in public SERP sample; native review still pending
character-counter,KR,글자 수 세기,글자 수 세기,serp_verified,public_serp_audit_20260717,2026-07-17T12:37:42Z,Core query reviewed in public SERP sample; native review still pending
character-counter,TH,นับตัวอักษร,นับตัวอักษร,editor_reviewed,editorial_seed_20260717,,Requires native and SERP validation
character-counter,TR,karakter sayacı,karakter sayacı,editor_reviewed,editorial_seed_20260717,,Requires native and SERP validation
character-counter,VN,đếm ký tự,đếm ký tự,serp_verified,public_serp_audit_20260717,2026-07-17T12:37:42Z,Core query reviewed in public SERP sample; native review still pending
citation-generator,BR,,,pending,,,Awaiting localized head term
citation-generator,DE,,,pending,,,Awaiting localized head term
citation-generator,ES,,,pending,,,Awaiting localized head term
citation-generator,FR,,,pending,,,Awaiting localized head term
citation-generator,ID,,,pending,,,Awaiting localized head term
citation-generator,JP,,,pending,,,Awaiting localized head term
citation-generator,KR,,,pending,,,Awaiting localized head term
citation-generator,TH,,,pending,,,Awaiting localized head term
citation-generator,TR,,,pending,,,Awaiting localized head term
citation-generator,VN,,,pending,,,Awaiting localized head term
code-diff-checker,BR,,,pending,,,Awaiting localized head term
code-diff-checker,DE,,,pending,,,Awaiting localized head term
code-diff-checker,ES,,,pending,,,Awaiting localized head term
code-diff-checker,FR,,,pending,,,Awaiting localized head term
code-diff-checker,ID,,,pending,,,Awaiting localized head term
code-diff-checker,JP,,,pending,,,Awaiting localized head term
code-diff-checker,KR,,,pending,,,Awaiting localized head term
code-diff-checker,TH,,,pending,,,Awaiting localized head term
code-diff-checker,TR,,,pending,,,Awaiting localized head term
code-diff-checker,VN,,,pending,,,Awaiting localized head term
cold-email-generator,BR,,,pending,,,Awaiting localized head term
cold-email-generator,DE,,,pending,,,Awaiting localized head term
cold-email-generator,ES,,,pending,,,Awaiting localized head term
cold-email-generator,FR,,,pending,,,Awaiting localized head term
cold-email-generator,ID,,,pending,,,Awaiting localized head term
cold-email-generator,JP,,,pending,,,Awaiting localized head term
cold-email-generator,KR,,,pending,,,Awaiting localized head term
cold-email-generator,TH,,,pending,,,Awaiting localized head term
cold-email-generator,TR,,,pending,,,Awaiting localized head term
cold-email-generator,VN,,,pending,,,Awaiting localized head term
color-palette-generator,BR,,,pending,,,Awaiting localized head term
color-palette-generator,DE,,,pending,,,Awaiting localized head term
color-palette-generator,ES,,,pending,,,Awaiting localized head term
color-palette-generator,FR,,,pending,,,Awaiting localized head term
color-palette-generator,ID,,,pending,,,Awaiting localized head term
color-palette-generator,JP,,,pending,,,Awaiting localized head term
color-palette-generator,KR,,,pending,,,Awaiting localized head term
color-palette-generator,TH,,,pending,,,Awaiting localized head term
color-palette-generator,TR,,,pending,,,Awaiting localized head term
color-palette-generator,VN,,,pending,,,Awaiting localized head term
compound-interest-calculator,BR,,,pending,,,Awaiting localized head term
compound-interest-calculator,DE,,,pending,,,Awaiting localized head term
compound-interest-calculator,ES,,,pending,,,Awaiting localized head term
compound-interest-calculator,FR,,,pending,,,Awaiting localized head term
compound-interest-calculator,ID,,,pending,,,Awaiting localized head term
compound-interest-calculator,JP,,,pending,,,Awaiting localized head term
compound-interest-calculator,KR,,,pending,,,Awaiting localized head term
compound-interest-calculator,TH,,,pending,,,Awaiting localized head term
compound-interest-calculator,TR,,,pending,,,Awaiting localized head term
compound-interest-calculator,VN,,,pending,,,Awaiting localized head term
contact-card-generator,BR,,,pending,,,Awaiting localized head term
contact-card-generator,DE,,,pending,,,Awaiting localized head term
contact-card-generator,ES,,,pending,,,Awaiting localized head term
contact-card-generator,FR,,,pending,,,Awaiting localized head term
contact-card-generator,ID,,,pending,,,Awaiting localized head term
contact-card-generator,JP,,,pending,,,Awaiting localized head term
contact-card-generator,KR,,,pending,,,Awaiting localized head term
contact-card-generator,TH,,,pending,,,Awaiting localized head term
contact-card-generator,TR,,,pending,,,Awaiting localized head term
contact-card-generator,VN,,,pending,,,Awaiting localized head term
cover-letter-generator,BR,,,pending,,,Awaiting localized head term
cover-letter-generator,DE,,,pending,,,Awaiting localized head term
cover-letter-generator,ES,,,pending,,,Awaiting localized head term
cover-letter-generator,FR,,,pending,,,Awaiting localized head term
cover-letter-generator,ID,,,pending,,,Awaiting localized head term
cover-letter-generator,JP,,,pending,,,Awaiting localized head term
cover-letter-generator,KR,,,pending,,,Awaiting localized head term
cover-letter-generator,TH,,,pending,,,Awaiting localized head term
cover-letter-generator,TR,,,pending,,,Awaiting localized head term
cover-letter-generator,VN,,,pending,,,Awaiting localized head term
cron-expression-parser,BR,,,pending,,,Awaiting localized head term
cron-expression-parser,DE,,,pending,,,Awaiting localized head term
cron-expression-parser,ES,,,pending,,,Awaiting localized head term
cron-expression-parser,FR,,,pending,,,Awaiting localized head term
cron-expression-parser,ID,,,pending,,,Awaiting localized head term
cron-expression-parser,JP,,,pending,,,Awaiting localized head term
cron-expression-parser,KR,,,pending,,,Awaiting localized head term
cron-expression-parser,TH,,,pending,,,Awaiting localized head term
cron-expression-parser,TR,,,pending,,,Awaiting localized head term
cron-expression-parser,VN,,,pending,,,Awaiting localized head term
cron-generator,BR,,,pending,,,Awaiting localized head term
cron-generator,DE,,,pending,,,Awaiting localized head term
cron-generator,ES,,,pending,,,Awaiting localized head term
cron-generator,FR,,,pending,,,Awaiting localized head term
cron-generator,ID,,,pending,,,Awaiting localized head term
cron-generator,JP,,,pending,,,Awaiting localized head term
cron-generator,KR,,,pending,,,Awaiting localized head term
cron-generator,TH,,,pending,,,Awaiting localized head term
cron-generator,TR,,,pending,,,Awaiting localized head term
cron-generator,VN,,,pending,,,Awaiting localized head term
css-minifier,BR,,,pending,,,Awaiting localized head term
css-minifier,DE,,,pending,,,Awaiting localized head term
css-minifier,ES,,,pending,,,Awaiting localized head term
css-minifier,FR,,,pending,,,Awaiting localized head term
css-minifier,ID,,,pending,,,Awaiting localized head term
css-minifier,JP,,,pending,,,Awaiting localized head term
css-minifier,KR,,,pending,,,Awaiting localized head term
css-minifier,TH,,,pending,,,Awaiting localized head term
css-minifier,TR,,,pending,,,Awaiting localized head term
css-minifier,VN,,,pending,,,Awaiting localized head term
currency-converter,BR,,,pending,,,Awaiting localized head term
currency-converter,DE,,,pending,,,Awaiting localized head term
currency-converter,ES,,,pending,,,Awaiting localized head term
currency-converter,FR,,,pending,,,Awaiting localized head term
currency-converter,ID,,,pending,,,Awaiting localized head term
currency-converter,JP,,,pending,,,Awaiting localized head term
currency-converter,KR,,,pending,,,Awaiting localized head term
currency-converter,TH,,,pending,,,Awaiting localized head term
currency-converter,TR,,,pending,,,Awaiting localized head term
currency-converter,VN,,,pending,,,Awaiting localized head term
cv-builder,BR,,,pending,,,Awaiting localized head term
cv-builder,DE,,,pending,,,Awaiting localized head term
cv-builder,ES,,,pending,,,Awaiting localized head term
cv-builder,FR,,,pending,,,Awaiting localized head term
cv-builder,ID,,,pending,,,Awaiting localized head term
cv-builder,JP,,,pending,,,Awaiting localized head term
cv-builder,KR,,,pending,,,Awaiting localized head term
cv-builder,TH,,,pending,,,Awaiting localized head term
cv-builder,TR,,,pending,,,Awaiting localized head term
cv-builder,VN,,,pending,,,Awaiting localized head term
data-storage-converter,BR,,,pending,,,Awaiting localized head term
data-storage-converter,DE,,,pending,,,Awaiting localized head term
data-storage-converter,ES,,,pending,,,Awaiting localized head term
data-storage-converter,FR,,,pending,,,Awaiting localized head term
data-storage-converter,ID,,,pending,,,Awaiting localized head term
data-storage-converter,JP,,,pending,,,Awaiting localized head term
data-storage-converter,KR,,,pending,,,Awaiting localized head term
data-storage-converter,TH,,,pending,,,Awaiting localized head term
data-storage-converter,TR,,,pending,,,Awaiting localized head term
data-storage-converter,VN,,,pending,,,Awaiting localized head term
date-difference-calculator,BR,,,pending,,,Awaiting localized head term
date-difference-calculator,DE,,,pending,,,Awaiting localized head term
date-difference-calculator,ES,,,pending,,,Awaiting localized head term
date-difference-calculator,FR,,,pending,,,Awaiting localized head term
date-difference-calculator,ID,,,pending,,,Awaiting localized head term
date-difference-calculator,JP,,,pending,,,Awaiting localized head term
date-difference-calculator,KR,,,pending,,,Awaiting localized head term
date-difference-calculator,TH,,,pending,,,Awaiting localized head term
date-difference-calculator,TR,,,pending,,,Awaiting localized head term
date-difference-calculator,VN,,,pending,,,Awaiting localized head term
dns-lookup-tool,BR,,,pending,,,Awaiting localized head term
dns-lookup-tool,DE,,,pending,,,Awaiting localized head term
dns-lookup-tool,ES,,,pending,,,Awaiting localized head term
dns-lookup-tool,FR,,,pending,,,Awaiting localized head term
dns-lookup-tool,ID,,,pending,,,Awaiting localized head term
dns-lookup-tool,JP,,,pending,,,Awaiting localized head term
dns-lookup-tool,KR,,,pending,,,Awaiting localized head term
dns-lookup-tool,TH,,,pending,,,Awaiting localized head term
dns-lookup-tool,TR,,,pending,,,Awaiting localized head term
dns-lookup-tool,VN,,,pending,,,Awaiting localized head term
document-scanner,BR,,,pending,,,Awaiting localized head term
document-scanner,DE,,,pending,,,Awaiting localized head term
document-scanner,ES,,,pending,,,Awaiting localized head term
document-scanner,FR,,,pending,,,Awaiting localized head term
document-scanner,ID,,,pending,,,Awaiting localized head term
document-scanner,JP,,,pending,,,Awaiting localized head term
document-scanner,KR,,,pending,,,Awaiting localized head term
document-scanner,TH,,,pending,,,Awaiting localized head term
document-scanner,TR,,,pending,,,Awaiting localized head term
document-scanner,VN,,,pending,,,Awaiting localized head term
domain-age-checker,BR,,,pending,,,Awaiting localized head term
domain-age-checker,DE,,,pending,,,Awaiting localized head term
domain-age-checker,ES,,,pending,,,Awaiting localized head term
domain-age-checker,FR,,,pending,,,Awaiting localized head term
domain-age-checker,ID,,,pending,,,Awaiting localized head term
domain-age-checker,JP,,,pending,,,Awaiting localized head term
domain-age-checker,KR,,,pending,,,Awaiting localized head term
domain-age-checker,TH,,,pending,,,Awaiting localized head term
domain-age-checker,TR,,,pending,,,Awaiting localized head term
domain-age-checker,VN,,,pending,,,Awaiting localized head term
email-signature-generator,BR,,,pending,,,Awaiting localized head term
email-signature-generator,DE,,,pending,,,Awaiting localized head term
email-signature-generator,ES,,,pending,,,Awaiting localized head term
email-signature-generator,FR,,,pending,,,Awaiting localized head term
email-signature-generator,ID,,,pending,,,Awaiting localized head term
email-signature-generator,JP,,,pending,,,Awaiting localized head term
email-signature-generator,KR,,,pending,,,Awaiting localized head term
email-signature-generator,TH,,,pending,,,Awaiting localized head term
email-signature-generator,TR,,,pending,,,Awaiting localized head term
email-signature-generator,VN,,,pending,,,Awaiting localized head term
email-subject-line-tester,BR,,,pending,,,Awaiting localized head term
email-subject-line-tester,DE,,,pending,,,Awaiting localized head term
email-subject-line-tester,ES,,,pending,,,Awaiting localized head term
email-subject-line-tester,FR,,,pending,,,Awaiting localized head term
email-subject-line-tester,ID,,,pending,,,Awaiting localized head term
email-subject-line-tester,JP,,,pending,,,Awaiting localized head term
email-subject-line-tester,KR,,,pending,,,Awaiting localized head term
email-subject-line-tester,TH,,,pending,,,Awaiting localized head term
email-subject-line-tester,TR,,,pending,,,Awaiting localized head term
email-subject-line-tester,VN,,,pending,,,Awaiting localized head term
email-writer,BR,,,pending,,,Awaiting localized head term
email-writer,DE,,,pending,,,Awaiting localized head term
email-writer,ES,,,pending,,,Awaiting localized head term
email-writer,FR,,,pending,,,Awaiting localized head term
email-writer,ID,,,pending,,,Awaiting localized head term
email-writer,JP,,,pending,,,Awaiting localized head term
email-writer,KR,,,pending,,,Awaiting localized head term
email-writer,TH,,,pending,,,Awaiting localized head term
email-writer,TR,,,pending,,,Awaiting localized head term
email-writer,VN,,,pending,,,Awaiting localized head term
emoji-picker,BR,,,pending,,,Awaiting localized head term
emoji-picker,DE,,,pending,,,Awaiting localized head term
emoji-picker,ES,,,pending,,,Awaiting localized head term
emoji-picker,FR,,,pending,,,Awaiting localized head term
emoji-picker,ID,,,pending,,,Awaiting localized head term
emoji-picker,JP,,,pending,,,Awaiting localized head term
emoji-picker,KR,,,pending,,,Awaiting localized head term
emoji-picker,TH,,,pending,,,Awaiting localized head term
emoji-picker,TR,,,pending,,,Awaiting localized head term
emoji-picker,VN,,,pending,,,Awaiting localized head term
employee-cost-calculator,BR,,,pending,,,Awaiting localized head term
employee-cost-calculator,DE,,,pending,,,Awaiting localized head term
employee-cost-calculator,ES,,,pending,,,Awaiting localized head term
employee-cost-calculator,FR,,,pending,,,Awaiting localized head term
employee-cost-calculator,ID,,,pending,,,Awaiting localized head term
employee-cost-calculator,JP,,,pending,,,Awaiting localized head term
employee-cost-calculator,KR,,,pending,,,Awaiting localized head term
employee-cost-calculator,TH,,,pending,,,Awaiting localized head term
employee-cost-calculator,TR,,,pending,,,Awaiting localized head term
employee-cost-calculator,VN,,,pending,,,Awaiting localized head term
epub-to-pdf-converter,BR,,,pending,,,Awaiting localized head term
epub-to-pdf-converter,DE,,,pending,,,Awaiting localized head term
epub-to-pdf-converter,ES,,,pending,,,Awaiting localized head term
epub-to-pdf-converter,FR,,,pending,,,Awaiting localized head term
epub-to-pdf-converter,ID,,,pending,,,Awaiting localized head term
epub-to-pdf-converter,JP,,,pending,,,Awaiting localized head term
epub-to-pdf-converter,KR,,,pending,,,Awaiting localized head term
epub-to-pdf-converter,TH,,,pending,,,Awaiting localized head term
epub-to-pdf-converter,TR,,,pending,,,Awaiting localized head term
epub-to-pdf-converter,VN,,,pending,,,Awaiting localized head term
essay-outline-generator,BR,,,pending,,,Awaiting localized head term
essay-outline-generator,DE,,,pending,,,Awaiting localized head term
essay-outline-generator,ES,,,pending,,,Awaiting localized head term
essay-outline-generator,FR,,,pending,,,Awaiting localized head term
essay-outline-generator,ID,,,pending,,,Awaiting localized head term
essay-outline-generator,JP,,,pending,,,Awaiting localized head term
essay-outline-generator,KR,,,pending,,,Awaiting localized head term
essay-outline-generator,TH,,,pending,,,Awaiting localized head term
essay-outline-generator,TR,,,pending,,,Awaiting localized head term
essay-outline-generator,VN,,,pending,,,Awaiting localized head term
exif-metadata-remover,BR,,,pending,,,Awaiting localized head term
exif-metadata-remover,DE,,,pending,,,Awaiting localized head term
exif-metadata-remover,ES,,,pending,,,Awaiting localized head term
exif-metadata-remover,FR,,,pending,,,Awaiting localized head term
exif-metadata-remover,ID,,,pending,,,Awaiting localized head term
exif-metadata-remover,JP,,,pending,,,Awaiting localized head term
exif-metadata-remover,KR,,,pending,,,Awaiting localized head term
exif-metadata-remover,TH,,,pending,,,Awaiting localized head term
exif-metadata-remover,TR,,,pending,,,Awaiting localized head term
exif-metadata-remover,VN,,,pending,,,Awaiting localized head term
facebook-post-generator,BR,,,pending,,,Awaiting localized head term
facebook-post-generator,DE,,,pending,,,Awaiting localized head term
facebook-post-generator,ES,,,pending,,,Awaiting localized head term
facebook-post-generator,FR,,,pending,,,Awaiting localized head term
facebook-post-generator,ID,,,pending,,,Awaiting localized head term
facebook-post-generator,JP,,,pending,,,Awaiting localized head term
facebook-post-generator,KR,,,pending,,,Awaiting localized head term
facebook-post-generator,TH,,,pending,,,Awaiting localized head term
facebook-post-generator,TR,,,pending,,,Awaiting localized head term
facebook-post-generator,VN,,,pending,,,Awaiting localized head term
fancy-text-generator,BR,,,pending,,,Awaiting localized head term
fancy-text-generator,DE,,,pending,,,Awaiting localized head term
fancy-text-generator,ES,,,pending,,,Awaiting localized head term
fancy-text-generator,FR,,,pending,,,Awaiting localized head term
fancy-text-generator,ID,,,pending,,,Awaiting localized head term
